filename,chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
1489_227_110_30s,0.290465,0.11843583,2239.6497901631005,2055.7060244412364,4226.391110257837,0.059654590146091334,-268.27103,129.4318,-28.19868,37.844414,5.255187,-9.403754,2.6204255,-20.48604,-9.798513,-7.1908317,-16.294458,-3.0185065,2.5394034,-4.354625,2.4562669,-2.2666976,-6.884322,1.8694811,-3.2403538,3.5346112,2
1490_227_120_30s,0.29247212,0.103343494,2351.13163916327,2148.292524559374,4541.947535464638,0.05966649483601006,-279.6975,120.16669,-26.374027,39.840847,5.110415,-10.082184,2.8832996,-19.504263,-8.501997,-2.8887312,-10.624164,-0.6727245,1.9816542,-5.67891,1.8003734,-1.1816726,-5.0063634,3.7430987,-2.5082462,2.4529805,2
1491_227_130_30s,0.31398672,0.037032716,2716.6151707457743,2430.4871878655854,5546.608127086155,0.0627241105118034,-323.54034,108.64916,-23.405306,65.044205,16.25251,-5.520837,8.353127,-14.80959,-1.8103288,2.291948,-7.9984565,0.10398241,5.9514847,0.96315044,6.950424,0.18110529,-4.5465283,6.043235,-4.3192573,-1.4478097,2
1492_227_140_30s,0.29250747,0.041003827,2564.9326118998456,2386.819193538175,5322.2428171258225,0.05812436508320434,-315.57797,113.946495,-21.962711,62.930367,16.895777,-4.8770676,6.8032007,-16.828104,-3.3107154,2.9196162,-6.34815,0.5901121,5.41117,0.5029591,8.140025,2.547743,-4.211786,4.567639,-4.6415534,-0.094345234,2
1493_228_000_30s,0.3202407,0.06809292,2413.4875991021618,1873.8848175397954,4118.825094028154,0.06830608734036378,-291.75107,167.36678,-58.1194,0.1267158,3.553726,-2.8089068,1.7639773,-5.8289943,0.15931314,-9.289723,-7.361558,-7.543427,-8.619347,-3.5549014,-3.951055,-5.118467,-11.278896,-7.7108493,-4.6824584,-6.083077,2
1494_228_010_30s,0.32101816,0.052326735,1791.8004113866677,1571.8574952428241,3054.6065292122194,0.06517931108504257,-301.06403,188.78186,-66.97593,2.301154,4.9661355,-2.2169545,-2.1590197,-9.651547,0.7535686,-7.832686,-4.5801735,-8.023345,-8.235204,-3.3156552,-4.2954125,-3.9751873,-11.840846,-7.9314017,-6.0310884,-5.9644756,2
1495_228_020_30s,0.33133668,0.040341128,1667.1349684937497,1469.3173082996702,2872.507630339348,0.060389846471071984,-315.78894,196.85649,-61.329166,-8.2709875,9.135674,-1.025877,2.993975,-6.475587,-6.91994,-8.0430765,-3.6414564,-7.250434,-6.1517906,-2.1074295,-3.0036545,-3.044601,-8.693123,-6.5247927,-6.85167,-7.6557283,2
1496_228_030_30s,0.33814973,0.032882784,1652.9257806956316,1478.6040610770503,2828.549562814435,0.05942311006433824,-340.72397,194.07664,-58.811558,-6.6948833,9.617874,-2.3348584,5.853408,-1.2348845,-6.1781206,-8.046199,-1.5649116,-5.0833087,-6.5781674,-4.5044217,-3.3687794,-1.5359453,-7.501152,-5.8706517,-6.018353,-7.0016923,2
1497_228_040_30s,0.33946317,0.051350787,1691.6371523734765,1420.9039702355478,2925.2073116715846,0.06349338023655186,-300.14722,186.47548,-57.657047,-11.665583,17.09364,-6.131968,0.7136799,-0.88510936,-5.2632117,-4.7324038,-4.725082,-7.918333,-10.275633,-7.534045,-3.1543906,-5.041885,-9.51693,-6.3726425,-5.491365,-7.2020764,2
1498_228_050_30s,0.310599,0.07781901,1720.2233407289202,1374.71338246259,2875.482612350039,0.0655020604561726,-280.87177,186.32541,-66.032005,-13.638492,16.531647,-5.0779815,0.13164717,-6.291553,-9.585038,-5.8044095,-4.330573,-7.063398,-7.42672,-5.8929343,-6.1170783,-7.3303742,-11.521767,-10.147765,-5.798009,-5.381746,2
